,name,date,OZONE,Pre-Shelter in place mean,Post-Shelter in place mean
341,Concord-2956-A Treat Blvd,2020-03-10,0.02817391304347826,0.026242419703663568,
342,Oakland-9925 International Blvd,2020-03-10,0.028882608695652175,0.026242419703663568,
343,Livermore-793 Rincon Avenue,2020-03-10,0.024447826086956514,0.026242419703663568,
344,San Jose-Jackson Street,2020-03-10,0.021077272727272726,0.026242419703663568,
345,San Pablo-Rumrill Blvd,2020-03-10,0.02276521739130435,0.026242419703663568,
346,Oakland-West,2020-03-10,0.023773913043478263,0.026242419703663568,
347,Sebastopol-103 Morris Street            ,2020-03-10,0.0251304347826087,0.026242419703663568,
348,Berkeley-Aquatic Park                   ,2020-03-10,0.016686956521739127,0.026242419703663568,
349,Napa-Valley College,2020-03-10,0.02590869565217391,0.026242419703663568,
350,Redwood City,2020-03-11,0.025547826086956518,0.026242419703663568,
351,Gilroy-9th Street,2020-03-11,0.023539130434782608,0.026242419703663568,
352,San Francisco-Arkansas Street,2020-03-11,0.028852173913043476,0.026242419703663568,
353,Vallejo-304 Tuolumne Street,2020-03-11,0.027947826086956513,0.026242419703663568,
354,San Rafael,2020-03-11,0.02430869565217391,0.026242419703663568,
355,Concord-2956-A Treat Blvd,2020-03-11,0.027404347826086955,0.026242419703663568,
356,Oakland-9925 International Blvd,2020-03-11,0.021960869565217395,0.026242419703663568,
357,Livermore-793 Rincon Avenue,2020-03-11,0.02647826086956522,0.026242419703663568,
358,San Jose-Jackson Street,2020-03-11,0.026872727272727267,0.026242419703663568,
359,San Pablo-Rumrill Blvd,2020-03-11,0.028021739130434785,0.026242419703663568,
360,Oakland-West,2020-03-11,0.021230434782608693,0.026242419703663568,
361,Sebastopol-103 Morris Street            ,2020-03-11,0.023852173913043482,0.026242419703663568,
362,Berkeley-Aquatic Park                   ,2020-03-11,0.020668181818181818,0.026242419703663568,
363,Napa-Valley College,2020-03-11,0.027800000000000002,0.026242419703663568,
364,Redwood City,2020-03-12,0.021452173913043476,0.026242419703663568,
365,Gilroy-9th Street,2020-03-12,0.023486956521739127,0.026242419703663568,
366,San Francisco-Arkansas Street,2020-03-12,0.02494347826086957,0.026242419703663568,
367,Vallejo-304 Tuolumne Street,2020-03-12,0.028913043478260868,0.026242419703663568,
368,San Rafael,2020-03-12,0.01946086956521739,0.026242419703663568,
369,Concord-2956-A Treat Blvd,2020-03-12,0.028304347826086956,0.026242419703663568,
370,Oakland-9925 International Blvd,2020-03-12,0.01911739130434783,0.026242419703663568,
371,Livermore-793 Rincon Avenue,2020-03-12,0.02576521739130435,0.026242419703663568,
372,San Jose-Jackson Street,2020-03-12,0.024490909090909098,0.026242419703663568,
373,San Pablo-Rumrill Blvd,2020-03-12,0.02601363636363636,0.026242419703663568,
374,Oakland-West,2020-03-12,0.020160869565217395,0.026242419703663568,
375,Sebastopol-103 Morris Street            ,2020-03-12,0.019230434782608698,0.026242419703663568,
376,Berkeley-Aquatic Park                   ,2020-03-12,0.01989565217391304,0.026242419703663568,
377,Napa-Valley College,2020-03-12,0.02430434782608696,0.026242419703663568,
378,Redwood City,2020-03-13,0.02735454545454545,0.026242419703663568,
379,Gilroy-9th Street,2020-03-13,0.031991304347826086,0.026242419703663568,
380,San Francisco-Arkansas Street,2020-03-13,0.035023809523809527,0.026242419703663568,
381,Vallejo-304 Tuolumne Street,2020-03-13,0.03672000000000001,0.026242419703663568,
382,San Rafael,2020-03-13,0.02840454545454545,0.026242419703663568,
383,Concord-2956-A Treat Blvd,2020-03-13,0.03248695652173914,0.026242419703663568,
384,Oakland-9925 International Blvd,2020-03-13,0.025126086956521732,0.026242419703663568,
385,Livermore-793 Rincon Avenue,2020-03-13,0.02728260869565217,0.026242419703663568,
386,San Jose-Jackson Street,2020-03-13,0.03050909090909091,0.026242419703663568,
387,San Pablo-Rumrill Blvd,2020-03-13,0.03733478260869565,0.026242419703663568,
388,Oakland-West,2020-03-13,0.030549999999999997,0.026242419703663568,
389,Sebastopol-103 Morris Street            ,2020-03-13,0.028439130434782606,0.026242419703663568,
390,Berkeley-Aquatic Park                   ,2020-03-13,0.026334782608695654,0.026242419703663568,
391,Napa-Valley College,2020-03-13,0.03286956521739131,0.026242419703663568,
392,Redwood City,2020-03-14,0.03422608695652174,0.026242419703663568,
393,Gilroy-9th Street,2020-03-14,0.03392173913043478,0.026242419703663568,
394,San Francisco-Arkansas Street,2020-03-14,0.037943478260869565,0.026242419703663568,
395,Vallejo-304 Tuolumne Street,2020-03-14,0.03805652173913043,0.026242419703663568,
396,San Rafael,2020-03-14,0.03530869565217391,0.026242419703663568,
397,Concord-2956-A Treat Blvd,2020-03-14,0.03514782608695652,0.026242419703663568,
398,Oakland-9925 International Blvd,2020-03-14,0.033947826086956526,0.026242419703663568,
399,Livermore-793 Rincon Avenue,2020-03-14,0.033939130434782604,0.026242419703663568,
