,name,date,NO2,Pre-Shelter in place mean,Post-Shelter in place mean
121,Oakland-West,2020-02-08,0.008578260869565217,0.011839483989298653,
122,Oakland-Laney College                   ,2020-02-08,0.010991304347826086,0.011839483989298653,
123,Sebastopol-103 Morris Street            ,2020-02-08,0.0034826086956521746,0.011839483989298653,
124,San Jose-Knox Avenue                    ,2020-02-08,0.013821739130434784,0.011839483989298653,
125,Berkeley-Aquatic Park                   ,2020-02-08,0.010647826086956523,0.011839483989298653,
126,Napa-Valley College,2020-02-08,0.006391304347826088,0.011839483989298653,
127,Pleasanton-Owens Ct                     ,2020-02-08,0.01486086956521739,0.011839483989298653,
128,Redwood City,2020-02-09,0.003190909090909091,0.011839483989298653,
129,San Francisco-Arkansas Street,2020-02-09,0.004365217391304348,0.011839483989298653,
130,Vallejo-304 Tuolumne Street,2020-02-09,0.003121739130434783,0.011839483989298653,
131,San Rafael,2020-02-09,0.002678260869565217,0.011839483989298653,
132,Concord-2956-A Treat Blvd,2020-02-09,0.002708695652173912,0.011839483989298653,
133,Oakland-9925 International Blvd,2020-02-09,0.004908695652173913,0.011839483989298653,
134,Livermore-793 Rincon Avenue,2020-02-09,0.0011565217391304348,0.011839483989298653,
135,San Jose-Jackson Street,2020-02-09,0.005168181818181818,0.011839483989298653,
136,San Pablo-Rumrill Blvd,2020-02-09,0.0017000000000000001,0.011839483989298653,
137,Oakland-West,2020-02-09,0.0044,0.011839483989298653,
138,Oakland-Laney College                   ,2020-02-09,0.0052304347826086965,0.011839483989298653,
139,Sebastopol-103 Morris Street            ,2020-02-09,0.001165217391304348,0.011839483989298653,
140,San Jose-Knox Avenue                    ,2020-02-09,0.007823809523809523,0.011839483989298653,
141,Berkeley-Aquatic Park                   ,2020-02-09,0.0038173913043478254,0.011839483989298653,
142,Napa-Valley College,2020-02-09,0.0015086956521739127,0.011839483989298653,
143,Pleasanton-Owens Ct                     ,2020-02-09,0.0038391304347826084,0.011839483989298653,
144,Redwood City,2020-02-10,0.018456521739130437,0.011839483989298653,
145,San Francisco-Arkansas Street,2020-02-10,0.017056521739130432,0.011839483989298653,
146,Vallejo-304 Tuolumne Street,2020-02-10,0.01806363636363637,0.011839483989298653,
147,San Rafael,2020-02-10,0.01909565217391304,0.011839483989298653,
148,Concord-2956-A Treat Blvd,2020-02-10,0.013965217391304347,0.011839483989298653,
149,Oakland-9925 International Blvd,2020-02-10,0.01759090909090909,0.011839483989298653,
150,Livermore-793 Rincon Avenue,2020-02-10,0.006634782608695652,0.011839483989298653,
151,San Jose-Jackson Street,2020-02-10,0.016309090909090912,0.011839483989298653,
152,San Pablo-Rumrill Blvd,2020-02-10,0.01581304347826087,0.011839483989298653,
153,Oakland-West,2020-02-10,0.02121363636363637,0.011839483989298653,
154,Oakland-Laney College                   ,2020-02-10,0.026631818181818187,0.011839483989298653,
155,Sebastopol-103 Morris Street            ,2020-02-10,0.005204347826086958,0.011839483989298653,
156,San Jose-Knox Avenue                    ,2020-02-10,0.020114285714285713,0.011839483989298653,
157,Berkeley-Aquatic Park                   ,2020-02-10,0.020868181818181817,0.011839483989298653,
158,Napa-Valley College,2020-02-10,0.0031565217391304355,0.011839483989298653,
159,Pleasanton-Owens Ct                     ,2020-02-10,0.018760869565217397,0.011839483989298653,
160,Redwood City,2020-02-11,0.02331111111111111,0.011839483989298653,
161,San Francisco-Arkansas Street,2020-02-11,0.021365217391304345,0.011839483989298653,
162,Vallejo-304 Tuolumne Street,2020-02-11,0.020736363636363636,0.011839483989298653,
163,San Rafael,2020-02-11,0.017756521739130435,0.011839483989298653,
164,Concord-2956-A Treat Blvd,2020-02-11,0.006634782608695653,0.011839483989298653,
165,Oakland-9925 International Blvd,2020-02-11,0.01705217391304348,0.011839483989298653,
166,Livermore-793 Rincon Avenue,2020-02-11,0.0089,0.011839483989298653,
167,San Jose-Jackson Street,2020-02-11,0.020186363636363638,0.011839483989298653,
168,San Pablo-Rumrill Blvd,2020-02-11,0.015643478260869564,0.011839483989298653,
169,Oakland-West,2020-02-11,0.02357826086956522,0.011839483989298653,
170,Oakland-Laney College                   ,2020-02-11,0.03321304347826087,0.011839483989298653,
171,Sebastopol-103 Morris Street            ,2020-02-11,0.00761304347826087,0.011839483989298653,
172,San Jose-Knox Avenue                    ,2020-02-11,0.02164782608695652,0.011839483989298653,
173,Berkeley-Aquatic Park                   ,2020-02-11,0.021500000000000002,0.011839483989298653,
174,Napa-Valley College,2020-02-11,0.006776190476190476,0.011839483989298653,
175,Pleasanton-Owens Ct                     ,2020-02-11,0.02446086956521739,0.011839483989298653,
176,Redwood City,2020-02-12,0.020960869565217387,0.011839483989298653,
177,San Francisco-Arkansas Street,2020-02-12,0.020521739130434785,0.011839483989298653,
178,Vallejo-304 Tuolumne Street,2020-02-12,0.020360869565217394,0.011839483989298653,
179,San Rafael,2020-02-12,0.017643478260869566,0.011839483989298653,
180,Concord-2956-A Treat Blvd,2020-02-12,0.011295652173913042,0.011839483989298653,
181,Oakland-9925 International Blvd,2020-02-12,0.019947826086956524,0.011839483989298653,
182,Livermore-793 Rincon Avenue,2020-02-12,0.017004347826086955,0.011839483989298653,
183,San Jose-Jackson Street,2020-02-12,0.018018181818181822,0.011839483989298653,
184,San Pablo-Rumrill Blvd,2020-02-12,0.013317391304347824,0.011839483989298653,
185,Oakland-West,2020-02-12,0.021534782608695652,0.011839483989298653,
186,Oakland-Laney College                   ,2020-02-12,0.027595652173913045,0.011839483989298653,
187,Sebastopol-103 Morris Street            ,2020-02-12,0.006986956521739131,0.011839483989298653,
188,San Jose-Knox Avenue                    ,2020-02-12,0.024221739130434784,0.011839483989298653,
189,Berkeley-Aquatic Park                   ,2020-02-12,0.02075652173913043,0.011839483989298653,
190,Napa-Valley College,2020-02-12,0.01126521739130435,0.011839483989298653,
191,Pleasanton-Owens Ct                     ,2020-02-12,0.024573913043478272,0.011839483989298653,
192,Redwood City,2020-02-13,0.010069565217391304,0.011839483989298653,
193,San Francisco-Arkansas Street,2020-02-13,0.004591304347826088,0.011839483989298653,
194,Vallejo-304 Tuolumne Street,2020-02-13,0.004730434782608694,0.011839483989298653,
195,San Rafael,2020-02-13,0.01105238095238095,0.011839483989298653,
196,Concord-2956-A Treat Blvd,2020-02-13,0.008308695652173913,0.011839483989298653,
197,Oakland-9925 International Blvd,2020-02-13,0.00856086956521739,0.011839483989298653,
198,Livermore-793 Rincon Avenue,2020-02-13,0.011743478260869564,0.011839483989298653,
199,San Jose-Jackson Street,2020-02-13,0.007790909090909088,0.011839483989298653,
200,San Pablo-Rumrill Blvd,2020-02-13,0.006147826086956521,0.011839483989298653,
201,Oakland-West,2020-02-13,0.010704347826086957,0.011839483989298653,
202,Oakland-Laney College                   ,2020-02-13,0.015808695652173913,0.011839483989298653,
203,Sebastopol-103 Morris Street            ,2020-02-13,0.003930434782608696,0.011839483989298653,
204,San Jose-Knox Avenue                    ,2020-02-13,0.01407391304347826,0.011839483989298653,
205,Berkeley-Aquatic Park                   ,2020-02-13,0.014204347826086951,0.011839483989298653,
206,Napa-Valley College,2020-02-13,0.0054130434782608695,0.011839483989298653,
207,Pleasanton-Owens Ct                     ,2020-02-13,0.01771304347826087,0.011839483989298653,
208,Redwood City,2020-02-14,0.010459090909090911,0.011839483989298653,
209,San Francisco-Arkansas Street,2020-02-14,0.010845454545454545,0.011839483989298653,
210,Vallejo-304 Tuolumne Street,2020-02-14,0.007877272727272728,0.011839483989298653,
211,San Rafael,2020-02-14,0.007909090909090909,0.011839483989298653,
212,Concord-2956-A Treat Blvd,2020-02-14,0.005134782608695653,0.011839483989298653,
213,Oakland-9925 International Blvd,2020-02-14,0.011708695652173912,0.011839483989298653,
214,Livermore-793 Rincon Avenue,2020-02-14,0.007626086956521739,0.011839483989298653,
215,San Jose-Jackson Street,2020-02-14,0.012409090909090908,0.011839483989298653,
216,San Pablo-Rumrill Blvd,2020-02-14,0.009182608695652175,0.011839483989298653,
217,Oakland-West,2020-02-14,0.01307272727272727,0.011839483989298653,
218,Oakland-Laney College                   ,2020-02-14,0.01825652173913044,0.011839483989298653,
219,Sebastopol-103 Morris Street            ,2020-02-14,0.004208695652173912,0.011839483989298653,
220,San Jose-Knox Avenue                    ,2020-02-14,0.015200000000000002,0.011839483989298653,
221,Berkeley-Aquatic Park                   ,2020-02-14,0.01579130434782609,0.011839483989298653,
222,Napa-Valley College,2020-02-14,0.0064173913043478244,0.011839483989298653,
223,Pleasanton-Owens Ct                     ,2020-02-14,0.015013043478260867,0.011839483989298653,
224,Redwood City,2020-02-15,0.011604347826086958,0.011839483989298653,
225,San Francisco-Arkansas Street,2020-02-15,0.008478260869565218,0.011839483989298653,
226,Vallejo-304 Tuolumne Street,2020-02-15,0.010830434782608695,0.011839483989298653,
227,San Rafael,2020-02-15,0.008669565217391303,0.011839483989298653,
228,Concord-2956-A Treat Blvd,2020-02-15,0.009730434782608696,0.011839483989298653,
229,Oakland-9925 International Blvd,2020-02-15,0.012091304347826088,0.011839483989298653,
230,Livermore-793 Rincon Avenue,2020-02-15,0.012808695652173909,0.011839483989298653,
231,San Jose-Jackson Street,2020-02-15,0.014245454545454546,0.011839483989298653,
232,San Pablo-Rumrill Blvd,2020-02-15,0.014260869565217393,0.011839483989298653,
233,Oakland-West,2020-02-15,0.016634782608695657,0.011839483989298653,
234,Oakland-Laney College                   ,2020-02-15,0.019552173913043484,0.011839483989298653,
235,Sebastopol-103 Morris Street            ,2020-02-15,0.006130434782608696,0.011839483989298653,
236,San Jose-Knox Avenue                    ,2020-02-15,0.018547826086956522,0.011839483989298653,
237,Berkeley-Aquatic Park                   ,2020-02-15,0.0166,0.011839483989298653,
238,Napa-Valley College,2020-02-15,0.007195652173913044,0.011839483989298653,
239,Pleasanton-Owens Ct                     ,2020-02-15,0.014643478260869562,0.011839483989298653,
240,Redwood City,2020-02-16,0.006060869565217391,0.011839483989298653,
241,San Francisco-Arkansas Street,2020-02-16,0.006491304347826086,0.011839483989298653,
242,Vallejo-304 Tuolumne Street,2020-02-16,0.0026826086956521734,0.011839483989298653,
243,San Rafael,2020-02-16,0.0030739130434782607,0.011839483989298653,
244,Concord-2956-A Treat Blvd,2020-02-16,0.004860869565217391,0.011839483989298653,
245,Oakland-9925 International Blvd,2020-02-16,0.007865217391304347,0.011839483989298653,
247,San Jose-Jackson Street,2020-02-16,0.010445454545454546,0.011839483989298653,
248,San Pablo-Rumrill Blvd,2020-02-16,0.00743913043478261,0.011839483989298653,
249,Oakland-West,2020-02-16,0.010586956521739127,0.011839483989298653,
250,Oakland-Laney College                   ,2020-02-16,0.012082608695652171,0.011839483989298653,
251,Sebastopol-103 Morris Street            ,2020-02-16,0.005226086956521739,0.011839483989298653,
252,San Jose-Knox Avenue                    ,2020-02-16,0.012360869565217389,0.011839483989298653,
253,Berkeley-Aquatic Park                   ,2020-02-16,0.013543478260869565,0.011839483989298653,
254,Napa-Valley College,2020-02-16,0.00458695652173913,0.011839483989298653,
255,Pleasanton-Owens Ct                     ,2020-02-16,0.010252173913043481,0.011839483989298653,
256,Redwood City,2020-02-17,0.011934782608695653,0.011839483989298653,
257,San Francisco-Arkansas Street,2020-02-17,0.015278260869565219,0.011839483989298653,
