,name,date,NOX,Pre-Shelter in place mean,Post-Shelter in place mean
344,San Pablo-Rumrill Blvd,2020-02-22,0.010930434782608694,0.01818764397517645,
345,Oakland-West,2020-02-22,0.008886956521739129,0.01818764397517645,
346,Oakland-Laney College                   ,2020-02-22,0.01662608695652174,0.01818764397517645,
347,Sebastopol-103 Morris Street            ,2020-02-22,0.0071,0.01818764397517645,
348,San Jose-Knox Avenue                    ,2020-02-22,0.01915217391304348,0.01818764397517645,
349,Berkeley-Aquatic Park                   ,2020-02-22,0.02194782608695652,0.01818764397517645,
350,Napa-Valley College,2020-02-22,0.007560869565217392,0.01818764397517645,
351,Pleasanton-Owens Ct                     ,2020-02-22,0.019069565217391303,0.01818764397517645,
352,Redwood City,2020-02-23,0.004265217391304347,0.01818764397517645,
353,San Francisco-Arkansas Street,2020-02-23,0.005760869565217391,0.01818764397517645,
354,Vallejo-304 Tuolumne Street,2020-02-23,0.004126086956521739,0.01818764397517645,
355,San Rafael,2020-02-23,0.003965217391304348,0.01818764397517645,
356,Concord-2956-A Treat Blvd,2020-02-23,0.0034347826086956524,0.01818764397517645,
357,Oakland-9925 International Blvd,2020-02-23,0.0050391304347826085,0.01818764397517645,
358,Livermore-793 Rincon Avenue,2020-02-23,0.004334782608695652,0.01818764397517645,
359,San Jose-Jackson Street,2020-02-23,0.007954545454545454,0.01818764397517645,
360,San Pablo-Rumrill Blvd,2020-02-23,0.007300000000000001,0.01818764397517645,
361,Oakland-West,2020-02-23,0.0062782608695652175,0.01818764397517645,
362,Oakland-Laney College                   ,2020-02-23,0.012760869565217393,0.01818764397517645,
363,Sebastopol-103 Morris Street            ,2020-02-23,0.00548695652173913,0.01818764397517645,
364,San Jose-Knox Avenue                    ,2020-02-23,0.01267391304347826,0.01818764397517645,
365,Berkeley-Aquatic Park                   ,2020-02-23,0.01453478260869565,0.01818764397517645,
366,Napa-Valley College,2020-02-23,0.003960869565217392,0.01818764397517645,
367,Pleasanton-Owens Ct                     ,2020-02-23,0.006330434782608696,0.01818764397517645,
368,Redwood City,2020-02-24,0.020408695652173913,0.01818764397517645,
369,San Francisco-Arkansas Street,2020-02-24,0.023169565217391306,0.01818764397517645,
370,Vallejo-304 Tuolumne Street,2020-02-24,0.02211304347826087,0.01818764397517645,
371,San Rafael,2020-02-24,0.017704347826086958,0.01818764397517645,
372,Concord-2956-A Treat Blvd,2020-02-24,0.009577272727272728,0.01818764397517645,
373,Oakland-9925 International Blvd,2020-02-24,0.01978695652173913,0.01818764397517645,
374,Livermore-793 Rincon Avenue,2020-02-24,0.018282608695652174,0.01818764397517645,
375,San Jose-Jackson Street,2020-02-24,0.020663636363636367,0.01818764397517645,
376,San Pablo-Rumrill Blvd,2020-02-24,0.012230434782608695,0.01818764397517645,
377,Oakland-West,2020-02-24,0.020463636363636364,0.01818764397517645,
378,Oakland-Laney College                   ,2020-02-24,0.031778260869565214,0.01818764397517645,
379,Sebastopol-103 Morris Street            ,2020-02-24,0.009409523809523809,0.01818764397517645,
380,San Jose-Knox Avenue                    ,2020-02-24,0.029013043478260874,0.01818764397517645,
381,Berkeley-Aquatic Park                   ,2020-02-24,0.0353695652173913,0.01818764397517645,
382,Napa-Valley College,2020-02-24,0.015582608695652174,0.01818764397517645,
383,Pleasanton-Owens Ct                     ,2020-02-24,0.038034782608695646,0.01818764397517645,
384,Redwood City,2020-02-25,0.029021739130434782,0.01818764397517645,
385,San Francisco-Arkansas Street,2020-02-25,0.039808695652173924,0.01818764397517645,
386,Vallejo-304 Tuolumne Street,2020-02-25,0.037809523809523814,0.01818764397517645,
387,San Rafael,2020-02-25,0.02953913043478261,0.01818764397517645,
388,Concord-2956-A Treat Blvd,2020-02-25,0.013899999999999997,0.01818764397517645,
389,Oakland-9925 International Blvd,2020-02-25,0.019526086956521742,0.01818764397517645,
390,Livermore-793 Rincon Avenue,2020-02-25,0.01679047619047619,0.01818764397517645,
391,San Jose-Jackson Street,2020-02-25,0.03289090909090909,0.01818764397517645,
392,San Pablo-Rumrill Blvd,2020-02-25,0.019047826086956522,0.01818764397517645,
393,Oakland-West,2020-02-25,0.04743913043478261,0.01818764397517645,
394,Oakland-Laney College                   ,2020-02-25,0.0478304347826087,0.01818764397517645,
395,Sebastopol-103 Morris Street            ,2020-02-25,0.00863913043478261,0.01818764397517645,
396,San Jose-Knox Avenue                    ,2020-02-25,0.0421,0.01818764397517645,
397,Berkeley-Aquatic Park                   ,2020-02-25,0.05264347826086955,0.01818764397517645,
398,Napa-Valley College,2020-02-25,0.010413636363636364,0.01818764397517645,
399,Pleasanton-Owens Ct                     ,2020-02-25,0.045634782608695655,0.01818764397517645,
400,Redwood City,2020-02-26,0.02933478260869565,0.01818764397517645,
401,San Francisco-Arkansas Street,2020-02-26,0.035956521739130436,0.01818764397517645,
402,Vallejo-304 Tuolumne Street,2020-02-26,0.033539130434782606,0.01818764397517645,
403,San Rafael,2020-02-26,0.021826315789473683,0.01818764397517645,
404,Concord-2956-A Treat Blvd,2020-02-26,0.013669565217391303,0.01818764397517645,
405,Oakland-9925 International Blvd,2020-02-26,0.02717826086956521,0.01818764397517645,
406,Livermore-793 Rincon Avenue,2020-02-26,0.027618181818181816,0.01818764397517645,
407,San Jose-Jackson Street,2020-02-26,0.02805000000000001,0.01818764397517645,
408,San Pablo-Rumrill Blvd,2020-02-26,0.019739130434782613,0.01818764397517645,
409,Oakland-West,2020-02-26,0.04773157894736841,0.01818764397517645,
410,Oakland-Laney College                   ,2020-02-26,0.046043478260869575,0.01818764397517645,
411,Sebastopol-103 Morris Street            ,2020-02-26,0.01061304347826087,0.01818764397517645,
412,San Jose-Knox Avenue                    ,2020-02-26,0.043073913043478254,0.01818764397517645,
413,Berkeley-Aquatic Park                   ,2020-02-26,0.05210434782608695,0.01818764397517645,
414,Napa-Valley College,2020-02-26,0.015278260869565217,0.01818764397517645,
415,Pleasanton-Owens Ct                     ,2020-02-26,0.04169565217391303,0.01818764397517645,
416,Redwood City,2020-02-27,0.027900000000000008,0.01818764397517645,
