,name,date,BC,Pre-Shelter in place mean,Post-Shelter in place mean
129,Berkeley-Aquatic Park                   ,2020-03-11,0.7379391304347827,0.6571340706705748,
130,Livermore-793 Rincon Avenue,2020-03-12,0.5232583333333334,0.6571340706705748,
131,Oakland-West,2020-03-12,0.53255,0.6571340706705748,
132,Oakland-Laney College                   ,2020-03-12,1.0252958333333335,0.6571340706705748,
133,San Jose-Knox Avenue                    ,2020-03-12,0.8862590909090909,0.6571340706705748,
134,Berkeley-Aquatic Park                   ,2020-03-12,0.7737863636363638,0.6571340706705748,
135,Livermore-793 Rincon Avenue,2020-03-13,0.4288291666666666,0.6571340706705748,
136,Oakland-West,2020-03-13,0.30582916666666676,0.6571340706705748,
137,Oakland-Laney College                   ,2020-03-13,0.679075,0.6571340706705748,
138,San Jose-Knox Avenue                    ,2020-03-13,0.4623166666666669,0.6571340706705748,
139,Berkeley-Aquatic Park                   ,2020-03-13,0.6197874999999998,0.6571340706705748,
140,Livermore-793 Rincon Avenue,2020-03-14,0.144825,0.6571340706705748,
141,Oakland-West,2020-03-14,0.1385625,0.6571340706705748,
142,Oakland-Laney College                   ,2020-03-14,0.25145416666666665,0.6571340706705748,
143,San Jose-Knox Avenue                    ,2020-03-14,0.23857083333333337,0.6571340706705748,
144,Berkeley-Aquatic Park                   ,2020-03-14,0.3411875,0.6571340706705748,
145,Livermore-793 Rincon Avenue,2020-03-15,0.0874625,0.6571340706705748,
146,Oakland-West,2020-03-15,0.10481666666666666,0.6571340706705748,
147,Oakland-Laney College                   ,2020-03-15,0.19591666666666666,0.6571340706705748,
148,San Jose-Knox Avenue                    ,2020-03-15,0.16030833333333336,0.6571340706705748,
149,Berkeley-Aquatic Park                   ,2020-03-15,0.222625,0.6571340706705748,
150,Livermore-793 Rincon Avenue,2020-03-16,0.14715416666666667,0.6571340706705748,
151,Oakland-West,2020-03-16,0.14667083333333333,0.6571340706705748,
152,Oakland-Laney College                   ,2020-03-16,0.28019565217391307,0.6571340706705748,
153,San Jose-Knox Avenue                    ,2020-03-16,0.35175,0.6571340706705748,
154,Berkeley-Aquatic Park                   ,2020-03-16,0.3443416666666666,0.6571340706705748,
155,Livermore-793 Rincon Avenue,2020-03-17,0.45796521739130447,,0.39677378762541815
156,Oakland-West,2020-03-17,0.23545416666666666,,0.39677378762541815
157,Oakland-Laney College                   ,2020-03-17,0.5172541666666667,,0.39677378762541815
158,San Jose-Knox Avenue                    ,2020-03-17,0.40358750000000004,,0.39677378762541815
159,Berkeley-Aquatic Park                   ,2020-03-17,0.4253875,,0.39677378762541815
160,Livermore-793 Rincon Avenue,2020-03-18,0.33971666666666667,,0.39677378762541815
161,Oakland-West,2020-03-18,0.2022333333333333,,0.39677378762541815
162,Oakland-Laney College                   ,2020-03-18,0.5635749999999998,,0.39677378762541815
163,San Jose-Knox Avenue                    ,2020-03-18,0.4482041666666667,,0.39677378762541815
164,Berkeley-Aquatic Park                   ,2020-03-18,0.35309565217391303,,0.39677378762541815
165,Livermore-793 Rincon Avenue,2020-03-19,0.2773333333333334,,0.39677378762541815
166,Oakland-West,2020-03-19,0.2748958333333334,,0.39677378762541815
167,Oakland-Laney College                   ,2020-03-19,0.5890041666666667,,0.39677378762541815
168,San Jose-Knox Avenue                    ,2020-03-19,0.41341249999999996,,0.39677378762541815
169,Berkeley-Aquatic Park                   ,2020-03-19,0.5094708333333334,,0.39677378762541815
170,Livermore-793 Rincon Avenue,2020-03-20,0.5637416666666667,,0.39677378762541815
171,Oakland-West,2020-03-20,0.40006250000000004,,0.39677378762541815
172,Oakland-Laney College                   ,2020-03-20,0.7040083333333332,,0.39677378762541815
173,San Jose-Knox Avenue                    ,2020-03-20,0.6547347826086957,,0.39677378762541815
174,Berkeley-Aquatic Park                   ,2020-03-20,0.6352708333333335,,0.39677378762541815
175,Livermore-793 Rincon Avenue,2020-03-21,0.5034625,,0.39677378762541815
176,Oakland-West,2020-03-21,0.41334999999999994,,0.39677378762541815
177,Oakland-Laney College                   ,2020-03-21,0.4948333333333333,,0.39677378762541815
178,San Jose-Knox Avenue                    ,2020-03-21,0.42247499999999993,,0.39677378762541815
179,Berkeley-Aquatic Park                   ,2020-03-21,0.48209583333333317,,0.39677378762541815
180,Livermore-793 Rincon Avenue,2020-03-22,0.327275,,0.39677378762541815
181,Oakland-West,2020-03-22,0.4855916666666667,,0.39677378762541815
182,Oakland-Laney College                   ,2020-03-22,0.5257291666666665,,0.39677378762541815
183,San Jose-Knox Avenue                    ,2020-03-22,0.4660791666666666,,0.39677378762541815
184,Berkeley-Aquatic Park                   ,2020-03-22,0.5041875000000001,,0.39677378762541815
185,Livermore-793 Rincon Avenue,2020-03-23,0.26277083333333334,,0.39677378762541815
186,Oakland-West,2020-03-23,0.19027500000000006,,0.39677378762541815
187,Oakland-Laney College                   ,2020-03-23,0.5176739130434782,,0.39677378762541815
188,San Jose-Knox Avenue                    ,2020-03-23,0.42238749999999997,,0.39677378762541815
189,Berkeley-Aquatic Park                   ,2020-03-23,0.35285000000000005,,0.39677378762541815
190,Livermore-793 Rincon Avenue,2020-03-24,0.13600833333333331,,0.39677378762541815
191,Oakland-West,2020-03-24,0.16444583333333335,,0.39677378762541815
192,Oakland-Laney College                   ,2020-03-24,0.5929416666666666,,0.39677378762541815
193,San Jose-Knox Avenue                    ,2020-03-24,0.2850458333333333,,0.39677378762541815
194,Berkeley-Aquatic Park                   ,2020-03-24,0.27047826086956517,,0.39677378762541815
195,Livermore-793 Rincon Avenue,2020-03-25,0.1709625,,0.39677378762541815
196,Oakland-West,2020-03-25,0.21617083333333334,,0.39677378762541815
197,Oakland-Laney College                   ,2020-03-25,0.4414833333333332,,0.39677378762541815
198,San Jose-Knox Avenue                    ,2020-03-25,0.3923916666666667,,0.39677378762541815
199,Berkeley-Aquatic Park                   ,2020-03-25,0.3712458333333335,,0.39677378762541815
200,Livermore-793 Rincon Avenue,2020-03-26,0.5198,,0.39677378762541815
201,Oakland-West,2020-03-26,0.18,,0.39677378762541815
202,Oakland-Laney College                   ,2020-03-26,0.2328,,0.39677378762541815
203,San Jose-Knox Avenue                    ,2020-03-26,0.3575,,0.39677378762541815
204,Berkeley-Aquatic Park                   ,2020-03-26,0.18285,,0.39677378762541815
205,Livermore-793 Rincon Avenue,2020-03-27,0.23463750000000005,,0.39677378762541815
206,Oakland-West,2020-03-27,0.30586086956521735,,0.39677378762541815
207,Oakland-Laney College                   ,2020-03-27,0.62315,,0.39677378762541815
208,San Jose-Knox Avenue                    ,2020-03-27,0.6142416666666666,,0.39677378762541815
209,Berkeley-Aquatic Park                   ,2020-03-27,0.49382083333333343,,0.39677378762541815
210,Livermore-793 Rincon Avenue,2020-03-28,0.3462791666666665,,0.39677378762541815
211,Oakland-West,2020-03-28,0.3711250000000001,,0.39677378762541815
212,Oakland-Laney College                   ,2020-03-28,0.5134166666666667,,0.39677378762541815
213,San Jose-Knox Avenue                    ,2020-03-28,0.5037958333333333,,0.39677378762541815
214,Berkeley-Aquatic Park                   ,2020-03-28,0.44230833333333336,,0.39677378762541815
215,Livermore-793 Rincon Avenue,2020-03-29,0.2502,,0.39677378762541815
216,Oakland-West,2020-03-29,0.30193333333333333,,0.39677378762541815
217,Oakland-Laney College                   ,2020-03-29,0.39705833333333335,,0.39677378762541815
218,San Jose-Knox Avenue                    ,2020-03-29,0.29760833333333336,,0.39677378762541815
219,Berkeley-Aquatic Park                   ,2020-03-29,0.24129166666666668,,0.39677378762541815
